"sentence","startTime","endTime","speaker_id","speaker_name"
"Hey.","00:01","00:01",0,"Steve Simpson"
"Hi, Matt.","00:03","00:04",0,"Steve Simpson"
"How are you doing?","00:04","00:06",0,"Steve Simpson"
"Very well.","00:06","00:06",0,"Steve Simpson"
"And yourself?","00:06","00:07",0,"Steve Simpson"
"Doing well.","00:08","00:09",1,"Matt Yonkman"
"It's Friday, so I can't really complain.","00:09","00:11",1,"Matt Yonkman"
"Yeah.","00:13","00:13",0,"Steve Simpson"
"Quite the art collection back there.","00:13","00:15",0,"Steve Simpson"
"Thanks.","00:16","00:17",0,"Steve Simpson"
"Yeah.","00:19","00:20",0,"Steve Simpson"
"Let me see if Levi is gonna pop in.","00:20","00:22",1,"Matt Yonkman"
"Yeah, it looks like it's recording, so it should be good there.","00:30","00:32",1,"Matt Yonkman"
"Yeah, thanks for arranging that.","00:35","00:36",0,"Steve Simpson"
"I messaged Levi.","00:47","00:48",1,"Matt Yonkman"
"I don't know if I think he's planning on coming.","00:49","00:51",1,"Matt Yonkman"
"Maybe he's getting to his computer.","00:51","00:53",1,"Matt Yonkman"
"Yeah.","00:56","00:56",0,"Steve Simpson"
"Hey, Steve.","00:57","00:58",2,"Levi Morehouse"
"Hey, Matt.","00:58","00:58",2,"Levi Morehouse"
"Hey.","01:01","01:02",0,"Steve Simpson"
"How are you guys doing?","01:02","01:04",1,"Matt Yonkman"
"Very well on yourself.","01:04","01:05",0,"Steve Simpson"
"Good.","01:05","01:05",0,"Steve Simpson"
"Happy Friday.","01:06","01:07",0,"Steve Simpson"
"Yeah, Happy Friday.","01:07","01:08",2,"Levi Morehouse"
"Excited to chat.","01:08","01:09",2,"Levi Morehouse"
"Yeah.","01:10","01:10",0,"Steve Simpson"
"Thanks for being so quick about setting this up.","01:10","01:12",0,"Steve Simpson"
"I'm not sure if your preference would be to kind of run it since you run the meeting, since you have the spreadsheets and are sharing, or if you'd like me to kind of kick things off.","01:13","01:23",0,"Steve Simpson"
"Happy to do either.","01:23","01:24",0,"Steve Simpson"
